address,sales0,sales1,sales2,sales3,sales4,sales5,sales6,sales7,near
공덕시장,76176015,104576066,111892255,107835335,82479985,107123832,104977306,78645678,0
공덕역,201629531,128561527,174228291,66858471,30142221,33260827,21295804,24307447,0
광성로6길,393071879,499002889,490938583,435275711,392872094,464499368,446559292,389071283,1
대흥로21길,13909391,34474870,52425461,42184536,26829829,27286403,27364232,24364377,0
대흥로28길,121811467,178893100,215515639,12839411,10587115,12460636,11229574,10026118,0
도화길,300846691,375360841,461342033,300478870,289225013,345981307,366415761,330786159,0
독막로22길,4834120,9019072,8456612,5972552,5892604,7252868,5988881,2730100,0
독막로8길,1403911629,1467447399,1454082093,1385193097,1385875065,1391251795,1532055858,1265373444,0
동교로17길,149860045,127483890,119288227,220219072,221741602,183827168,170231023,130816872,0
동교로19길,90404155,98808445,97703595,49738526,43265970,47060893,48545543,59127190,0
동교로25길,925695026,911663602,1191424351,1330701684,1603643170,1475135515,1323379374,1044931281,0
동교로27길,918014392,865047761,1286558539,1184837212,930040878,1053913680,1290427793,954026396,1
동교로38길,883909026,683697811,709614952,902799873,1016565721,987518827,916577333,779155489,1
동진시장,151660345,141425810,138004018,157830895,142996545,155659664,147451038,151844980,0
마포농수산물시장,99946502,266809181,271519700,251221691,130771028,414247408,395317717,355649371,1
마포대로12길,335067506,381333142,403611976,391387643,311236013,387826674,343142675,309188526,0
마포대로20길,318214615,273290435,278818020,283613287,244752689,251374426,262571397,195755145,0
마포대로4길,128898248,165716554,149365886,140076217,131772278,144093378,138346278,103513327,0
만리재옛길,73846038,62127966,84840339,86616902,84030491,99199475,96320361,85222572,1
망원로11길,257346993,264102930,297566063,268657529,242637015,261633494,302905944,203750378,0
망원로2길,120004526,122505929,138063653,72788410,70689884,93297887,107913329,91025259,1
망원시장,138437343,125062370,138068587,109690209,99526003,107847045,169316960,124700506,0
망원월드컵시장,57281479,67630766,67137689,59221079,47399431,66714000,56412941,53006776,0
매봉산로2길,1154564487,1251716651,1190976642,1818645067,1614623957,2018524039,1944296147,1446564719,1
모래내로7길,11051312,952735,15682764,22512913,21030521,18581011,16195453,8383219,0
백범로16길,179176217,173758414,208074829,174456179,160054208,383519225,365597737,275257499,0
서울 마포구 마포역_1,1636799647,1786969219,1752693212,1508918746,1304540169,1466547758,1336965713,1004300729,1
서울 마포구 마포역_2,839482076,985871545,335360203,869903870,706918551,768654944,723355808,599745457,1
서울 마포구 홍대입구역_1,370727294,256339479,1147274148,548784000,498737881,388132288,346051710,331344593,1
서울 마포구 홍대입구역_2,1134759555,1032014105,964810348,1112350562,846732181,857776516,995335648,707007345,1
서울 마포구 홍대입구역_3,1255749072,1090826296,200386244,1015872407,851416583,927535814,893752927,776117985,1
성미산로11길,213633429,135034851,20756136,359633686,221050376,278107905,255106122,185898867,0
성미산로1길,14929448,20034969,360639352,13403374,11825154,30343558,9993866,10653374,0
성미산로32길,376424274,332108212,62186785,493717964,480770597,589890158,498059726,368440255,1
성산로4길,89302199,10506585,1427503126,84057965,105928034,125574238,154093773,45222080,0
성지3길,1382235089,1406135836,293735324,949464502,1002463485,1134140522,997616328,782979683,0
숭문길,194646279,123204420,532168193,259871996,205269246,242685542,214414053,188041386,0
신촌로12길,473644713,539062049,8662306,397411814,331952473,263921605,189860934,156737433,1
신촌역,578892433,651718451,708788266,570678185,440849140,498273505,455858468,392419046,0
양화로11길,775860556,779349678,1017892225,1091346035,1033215453,1137157903,1200898385,934836322,0
양화로1길,222347685,159574316,222234931,333472907,310215688,379340247,348989972,245701804,0
양화진길,559306735,702480291,675366966,799638262,839080391,859142981,847449948,763171612,1
와우산로29가길,1115784802,929779465,530546024,449682491,296589822,297227017,546982743,575050718,0
와우산로29길,1531828135,1505609346,1567633450,1591327654,1315156933,1328814805,1212264195,923323158,0
와우산로3길,453976827,571875638,514589130,241201800,226762677,236400058,217740255,163219838,0
월드컵로10길,1953744889,1974319453,2094498769,2106523063,2089747306,2327397945,2020084167,1215739832,0
월드컵로11길,193240364,104975615,151053254,166267515,168064052,178759804,212313090,218914806,0
월드컵로16길,115591771,128125132,140439494,125449519,109325898,134665059,133407663,121120335,0
월드컵로19길,411822138,387892247,594112915,524793815,460805302,502355018,843814529,649222610,0
월드컵로25길,44163717,35497397,33257137,124869304,162559599,172819124,140895239,137559153,1
월드컵로36길,315594672,365341348,355028712,365595859,334022754,362441224,341232027,327311137,1
월드컵로8길,148196023,161216336,122580102,120386198,15698578,124666684,118393484,98317370,0
토정로37길,90633920,52664076,82978418,176385816,100242028,195128684,262445424,604747827,1
