,Unnamed: 0,매출액 합계,공원수,면적,구면적
0,강남구,-0.207761388,155,6594.3,39.5
1,강동구,-0.024124396,124,3369.8,24.59
2,강북구,1.353997914,82,14342.3,23.6
3,강서구,0.111984577,170,4370.3,41.44
4,관악구,0.131941224,110,10976.9,29.57
5,광진구,-0.084862215,60,3363.5,17.06
6,구로구,-0.038557074,104,3336.1,20.12
7,금천구,0.040453404,55,2206.2,13.02
8,노원구,-0.284023695,181,14344.4,35.44
9,도봉구,0.12198466,79,10075,20.65
10,동대문구,0.002456311,95,1275.1,14.22
11,동작구,-0.200020627,78,4584.2,16.35
12,마포구,-0.373139435,142,4440,23.85
13,서대문구,0.104755852,118,5143.3,17.63
14,서초구,0.012098291,177,16081,46.98
15,성동구,0.447044048,86,3100,16.86
16,성북구,-0.019489031,133,8329.4,24.58
17,송파구,0.016094849,169,4644.8,33.87
18,양천구,0.886890363,121,2912,17.41
19,영등포구,0.236630938,108,3050.4,24.55
20,용산구,0.010340461,110,1779.6,21.87
21,은평구,-0.041805439,130,13991.6,29.71
22,종로구,-0.12112783,106,11556.1,23.91
23,중구,-0.263686369,73,3155.1,9.96
24,중랑구,0.251152784,101,5205.3,18.5
